,Unnamed: 0,source_com,target_com,weight,source_com1,target_com1,source_coords.x,source_coords.y,target_coords.x,target_coords.y
0,0,0,1,26207,com_0,com_1,-86.46844660348772,33.082626385044996,-89.59103266662534,33.47842915865667
1,1,0,2,42953,com_0,com_2,-86.46844660348772,33.082626385044996,-87.71248851776461,31.04008418526808
2,2,0,3,2494,com_0,com_3,-86.46844660348772,33.082626385044996,-105.66401064106965,40.590087364918
3,3,0,4,80525,com_0,com_4,-86.46844660348772,33.082626385044996,-85.20443868730017,36.11877280146902
4,4,0,5,17449,com_0,com_5,-86.46844660348772,33.082626385044996,-82.9843970939389,31.192151663393876
5,5,0,6,13474,com_0,com_6,-86.46844660348772,33.082626385044996,-81.99320972958279,28.668694222126696
6,6,0,7,61968,com_0,com_7,-86.46844660348772,33.082626385044996,-83.8832039315807,33.62313133905221
7,7,0,8,1466,com_0,com_8,-86.46844660348772,33.082626385044996,-112.81967815355672,41.32642696659285
8,8,0,9,5337,com_0,com_9,-86.46844660348772,33.082626385044996,-91.63759681530907,30.483613560556122
9,9,0,10,1666,com_0,com_10,-86.46844660348772,33.082626385044996,-97.29511243056677,35.54119512773189
10,10,0,11,614,com_0,com_11,-86.46844660348772,33.082626385044996,-119.23070707600995,47.23402810629655
11,11,0,12,4816,com_0,com_12,-86.46844660348772,33.082626385044996,-97.47911097617015,32.94003170628068
12,12,0,13,2420,com_0,com_13,-86.46844660348772,33.082626385044996,-104.32877507456188,33.70364642431962
13,13,0,14,1381,com_0,com_14,-86.46844660348772,33.082626385044996,-92.64572217256449,41.88714627459399
14,14,0,15,2253,com_0,com_15,-86.46844660348772,33.082626385044996,-93.72356239605566,32.673008773636276
15,15,0,16,2175,com_0,com_16,-86.46844660348772,33.082626385044996,-76.04219523083502,40.503956994682675
16,16,0,17,8208,com_0,com_17,-86.46844660348772,33.082626385044996,-79.44824395567814,35.580213596022425
17,17,0,18,2379,com_0,com_18,-86.46844660348772,33.082626385044996,-82.5939115150594,40.5177726816658
18,18,0,19,1521,com_0,com_19,-86.46844660348772,33.082626385044996,-80.23459075802741,39.69887958146149
19,19,0,20,4343,com_0,com_20,-86.46844660348772,33.082626385044996,-95.55608520467477,30.153869978538427
20,20,0,21,2400,com_0,com_21,-86.46844660348772,33.082626385044996,-117.08736244326506,34.01579967987851
